Category: All categories

Month,United States: (Worldwide)
2004-01,46
2004-02,46
2004-03,45
2004-04,45
2004-05,50
2004-06,43
2004-07,41
2004-08,41
2004-09,45
2004-10,47
2004-11,50
2004-12,39
2005-01,42
2005-02,42
2005-03,40
2005-04,40
2005-05,40
2005-06,38
2005-07,35
2005-08,36
2005-09,40
2005-10,40
2005-11,38
2005-12,33
2006-01,36
2006-02,37
2006-03,38
2006-04,36
2006-05,34
2006-06,33
2006-07,30
2006-08,30
2006-09,33
2006-10,33
2006-11,33
2006-12,30
2007-01,33
2007-02,31
2007-03,32
2007-04,32
2007-05,32
2007-06,29
2007-07,29
2007-08,29
2007-09,30
2007-10,32
2007-11,31
2007-12,29
2008-01,31
2008-02,32
2008-03,31
2008-04,33
2008-05,30
2008-06,29
2008-07,28
2008-08,32
2008-09,31
2008-10,32
2008-11,34
2008-12,26
2009-01,29
2009-02,28
2009-03,28
2009-04,28
2009-05,26
2009-06,27
2009-07,26
2009-08,26
2009-09,26
2009-10,27
2009-11,27
2009-12,24
2010-01,26
2010-02,28
2010-03,27
2010-04,28
2010-05,27
2010-06,27
2010-07,24
2010-08,24
2010-09,25
2010-10,26
2010-11,26
2010-12,23
2011-01,26
2011-02,25
2011-03,26
2011-04,26
2011-05,25
2011-06,24
2011-07,25
2011-08,25
2011-09,24
2011-10,24
2011-11,24
2011-12,22
2012-01,25
2012-02,24
2012-03,24
2012-04,24
2012-05,24
2012-06,23
2012-07,25
2012-08,26
2012-09,26
2012-10,25
2012-11,29
2012-12,22
2013-01,24
2013-02,24
2013-03,23
2013-04,25
2013-05,23
2013-06,22
2013-07,21
2013-08,23
2013-09,24
2013-10,24
2013-11,23
2013-12,21
2014-01,23
2014-02,25
2014-03,24
2014-04,24
2014-05,23
2014-06,28
2014-07,24
2014-08,24
2014-09,24
2014-10,23
2014-11,22
2014-12,22
2015-01,22
2015-02,23
2015-03,22
2015-04,22
2015-05,23
2015-06,23
2015-07,23
2015-08,22
2015-09,24
2015-10,24
2015-11,23
2015-12,21
2016-01,24
2016-02,25
2016-03,24
2016-04,24
2016-05,24
2016-06,25
2016-07,24
2016-08,25
2016-09,24
2016-10,25
2016-11,50
2016-12,22
2017-01,27
2017-02,25
2017-03,25
2017-04,26
2017-05,24
2017-06,22
2017-07,23
2017-08,23
2017-09,24
2017-10,25
2017-11,24
2017-12,23
2018-01,24
2018-02,27
2018-03,24
2018-04,24
2018-05,23
2018-06,22
2018-07,23
2018-08,23
2018-09,25
2018-10,24
2018-11,26
2018-12,22
2019-01,24
2019-02,24
2019-03,23
2019-04,23
2019-05,23
2019-06,24
2019-07,23
2019-08,23
2019-09,25
2019-10,24
2019-11,23
2019-12,22
2020-01,29
2020-02,26
2020-03,42
2020-04,40
2020-05,32
2020-06,32
2020-07,29
2020-08,26
2020-09,26
2020-10,26
2020-11,100
2020-12,25
2021-01,30
2021-02,24
2021-03,23
2021-04,24
