date,Worldwide,Afghanistan,Aland Islands,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,British Indian Ocean Territory,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada ,Cape Verde,Cayman Islands ,Central African Republic,Chad,Chile,China,"Hong Kong, SAR China","Macao, SAR China",Colombia,Comoros,Congo (Brazzaville) ,"Congo, (Kinshasa)",Cook Islands ,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands (Malvinas) ,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany ,Ghana,Gibraltar ,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,"Iran, Islamic Republic of",Iraq,Ireland,Isle of Man ,Israel ,Italy ,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Korea (North),Korea (South),Kuwait,Kyrgyzstan,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macedonia, Republic of",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Federated States of",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestinian Territory,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Réunion,Romania,Russian Federation ,Rwanda,Saint-Barthélemy,Saint Helena ,Saint Kitts and Nevis,Saint Lucia,Saint-Martin (French part),Saint Pierre and Miquelon ,Saint Vincent and Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen Islands ,Swaziland,Sweden,Switzerland,Syrian Arab Republic (Syria),"Taiwan, Republic of China ",Tajikistan,"Tanzania, United Republic of ",Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands ,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic),Viet Nam,"Virgin Islands, US",Western Sahara ,Yemen,Zambia,Zimbabwe
2004-01-01,46,0,0,38,61,0,0,0,0,63,37,40,0,12,13,39,17,18,77,18,56,25,0,42,18,0,73,33,37,20,50,44.0,0,79,81,0,100,72,19,0,0,0,0,21,4,26,17,43,0,38,25,36,70,76,42,8,25,50,35,0,0,30,67,64,35,0,74,43,0,0,0,42,25,39,0,36,60,81,28,8,88,0,29,0,0,32,33,8,0,0,0,0,0,58,31,47,93,69,33,79,39,0,98,15,56,21,0,59,40,75,0,0,52,11,28,0,72,73,44,0,79,0,23,23,22,0,0,44,76,100,10,0,15,100,0,0,49,67,58,100.0,28,75,0,52,94,100,31,0,69,22,0,17,56,0,63,0,39,65,76,0,100,20,0,25,60,98,49,11,84,57,41,43,58,100,0,0,45,78,0,0,0,0,48,0,65,33,37,48,95,27,30,10,0,0,36,0,17,56,55,0,0,0,21,14,55,14,0,72,71,0,100,0,45,52,35,0,75,100,63,60,27,76,41,76,0,33,100,100,0,92,32,62
2004-02-01,46,0,0,0,51,0,0,0,0,34,33,74,0,13,11,20,78,33,57,16,41,19,0,47,73,59,45,32,0,19,0,0.0,0,72,28,0,19,100,18,0,37,0,0,18,4,33,15,47,0,45,25,0,76,75,31,8,31,34,27,0,0,45,48,82,43,0,58,33,71,0,0,0,22,36,0,40,0,100,27,7,88,100,24,0,0,51,74,55,0,0,0,44,0,64,25,67,80,82,24,20,33,0,97,16,32,18,0,20,94,39,0,0,60,41,28,0,41,69,0,38,66,0,38,21,38,43,0,53,35,0,17,0,9,0,24,0,42,57,19,32.0,100,0,0,33,29,0,56,0,58,19,0,20,80,98,68,75,31,28,65,0,0,54,0,21,69,91,42,7,89,73,30,40,71,0,0,0,44,100,0,0,0,0,0,0,47,59,76,0,50,27,42,29,0,0,41,0,17,64,0,0,0,0,20,16,73,17,100,43,85,100,76,0,38,100,35,0,56,60,87,50,27,80,14,41,68,25,54,43,0,50,68,49
2004-03-01,45,0,0,47,31,0,0,0,0,0,36,30,0,12,13,22,62,15,70,0,47,19,95,81,22,62,75,0,37,22,0,0.0,0,42,41,0,22,54,19,0,0,0,0,16,4,45,40,25,0,0,23,0,85,100,45,6,58,38,26,0,0,32,72,56,19,0,57,51,52,0,0,75,25,39,0,57,0,57,27,8,62,0,31,0,0,28,56,46,0,0,0,46,0,32,24,47,71,69,21,56,28,0,100,15,47,16,0,69,100,33,0,0,47,84,41,0,31,58,0,0,47,20,36,17,97,47,0,41,36,100,14,0,20,0,0,0,39,0,78,37.0,26,0,0,58,65,0,100,0,80,19,58,13,88,0,61,0,40,48,63,0,74,33,83,44,67,87,36,10,69,62,52,37,47,29,0,0,0,0,0,0,0,0,0,0,53,69,61,0,0,25,34,17,0,0,35,0,16,29,32,0,0,0,19,14,39,20,0,29,64,0,77,0,34,36,42,0,65,32,63,37,26,79,15,79,100,32,73,57,0,24,0,15
2004-04-01,45,0,0,63,63,0,0,0,0,28,38,62,50,14,11,66,34,27,33,92,38,20,0,29,29,0,82,17,0,20,47,0.0,0,58,0,100,22,80,18,0,20,0,0,25,4,48,41,33,100,0,22,100,49,72,17,1,50,16,25,100,0,39,78,59,28,0,28,32,17,0,0,82,22,39,99,62,71,35,24,8,69,32,44,0,0,35,94,95,0,36,0,38,0,98,24,37,86,52,37,14,27,0,80,18,37,19,0,26,38,64,0,0,58,71,100,0,44,57,0,100,53,0,39,9,78,0,38,53,0,0,25,0,33,0,0,0,45,0,40,30.0,80,38,0,45,49,45,20,0,41,21,0,15,51,0,71,0,42,38,81,100,34,24,0,65,71,82,37,11,89,29,42,38,64,0,0,0,40,0,0,0,0,0,100,0,60,62,38,58,0,28,38,23,0,0,38,0,15,70,76,0,0,56,17,15,89,20,0,24,89,0,13,0,73,65,32,0,44,50,59,47,26,81,32,24,0,34,61,0,0,18,0,68
2004-05-01,50,48,0,50,59,0,0,0,0,0,49,100,83,15,12,43,72,64,92,50,52,23,0,25,0,0,63,46,31,25,0,0.0,0,50,40,0,15,57,20,0,17,0,0,29,5,40,11,42,0,83,49,0,49,72,53,7,31,45,21,0,100,56,52,100,40,100,13,21,16,0,0,0,25,40,92,31,28,31,40,8,62,0,34,0,0,11,26,81,0,73,0,61,0,41,20,55,92,100,47,35,32,0,86,20,100,23,0,80,81,55,0,0,72,78,27,0,35,70,0,50,85,24,34,8,80,0,69,56,26,0,44,0,78,0,100,0,40,0,51,25.0,55,32,0,66,68,31,58,0,71,21,0,13,44,0,71,0,28,85,100,0,55,38,57,26,66,90,38,13,65,40,68,42,81,23,0,0,38,31,0,0,59,0,0,0,100,41,57,33,0,24,42,11,0,49,39,0,18,77,100,0,0,0,24,16,38,30,0,42,87,55,67,0,36,85,34,0,0,40,67,75,27,82,44,0,0,37,82,62,0,32,67,38
2004-06-01,43,59,0,55,37,0,37,49,0,65,38,63,0,13,8,48,58,23,74,31,70,18,58,38,15,40,48,14,100,23,93,0.0,52,84,21,73,34,12,18,0,19,0,0,26,5,34,0,37,0,0,0,0,61,65,16,1,20,36,20,68,0,59,63,73,38,0,0,30,87,0,50,0,16,34,55,92,34,32,18,7,82,0,54,0,0,22,44,78,0,34,100,0,0,33,20,60,77,60,34,100,28,0,89,16,29,19,0,80,46,57,0,0,66,54,0,100,23,49,0,43,30,12,27,18,16,31,27,47,0,76,39,0,23,0,62,0,39,0,0,75.0,50,0,0,46,0,59,0,0,83,19,58,16,45,0,60,67,48,8,71,0,49,37,0,39,60,69,41,10,45,23,0,38,50,0,0,0,0,49,0,0,0,0,31,0,47,100,44,0,0,23,27,14,0,48,41,0,15,64,18,83,0,0,14,14,69,26,0,25,61,0,40,0,76,65,32,0,0,84,46,35,24,73,22,58,0,33,32,20,0,34,0,29
2004-07-01,41,100,0,27,60,0,0,64,0,93,32,37,0,12,10,52,76,29,82,35,40,18,0,23,45,0,48,31,100,16,0,30.0,26,61,100,44,32,48,18,0,63,55,0,23,3,34,0,42,0,0,100,0,36,40,26,6,18,29,18,75,0,49,100,29,34,0,32,11,26,0,0,25,16,29,69,65,28,40,100,7,80,0,41,0,0,37,59,73,0,0,0,38,40,40,21,41,87,68,23,31,28,0,84,15,30,20,0,42,32,78,0,0,69,62,0,87,40,100,0,0,16,12,24,20,84,71,61,40,86,0,19,0,0,0,21,0,44,0,49,85.0,27,38,0,37,40,16,0,0,100,18,0,14,45,0,61,0,27,100,83,0,42,56,0,13,69,75,32,9,51,34,43,39,44,23,0,0,46,31,0,0,84,0,0,0,47,22,51,0,0,23,19,16,0,0,45,0,14,35,35,0,0,0,19,15,41,17,0,39,66,39,63,0,45,32,30,0,0,0,48,52,23,67,26,95,53,32,57,26,0,48,22,51
2004-08-01,41,28,0,0,66,0,41,0,0,0,44,22,80,15,10,29,59,39,63,29,12,20,100,48,59,51,51,54,59,26,70,0.0,23,65,20,40,62,57,18,0,19,0,0,26,4,31,13,37,0,32,31,0,50,93,17,12,18,24,19,0,36,50,58,79,32,0,0,38,50,0,88,20,18,35,0,0,25,14,62,7,49,27,21,0,14,39,39,51,0,0,0,30,0,26,20,52,85,55,31,22,26,0,75,17,74,16,0,100,45,54,0,0,58,55,87,73,22,33,0,0,47,21,36,8,55,0,0,32,22,45,9,0,31,0,16,0,41,43,24,28.0,23,100,0,59,0,32,48,0,74,21,24,16,40,100,76,0,30,30,79,0,31,27,0,11,57,74,32,11,100,31,42,33,54,0,0,0,57,0,0,0,60,0,0,0,68,78,55,0,48,19,27,14,0,96,28,0,18,46,15,0,0,0,15,16,42,17,0,34,61,0,43,0,80,50,26,0,0,31,44,47,22,71,36,27,0,38,40,20,0,89,38,20
2004-09-01,45,0,0,70,57,0,0,0,0,27,36,0,0,14,11,84,35,27,72,58,73,20,0,32,71,31,77,80,47,24,0,0.0,20,41,0,40,47,52,18,0,40,100,0,24,4,38,12,39,0,67,39,0,55,83,24,4,30,22,25,0,0,59,63,63,43,67,55,32,26,0,0,100,18,37,0,25,22,16,80,7,62,23,44,0,0,23,83,89,0,46,0,69,0,45,21,53,90,81,26,7,31,0,85,15,53,18,0,37,15,62,0,0,60,67,49,0,63,42,0,0,43,8,48,11,46,61,0,36,42,24,30,0,49,0,45,0,39,0,66,44.0,18,0,0,67,16,28,31,0,59,18,0,15,48,44,77,36,50,34,87,0,46,34,0,34,65,82,36,14,67,33,62,30,74,0,0,0,42,0,0,0,0,58,0,0,55,46,37,0,0,25,19,11,0,50,36,0,15,69,16,0,0,0,20,14,55,19,0,35,55,0,33,0,46,52,31,0,0,45,74,45,25,80,18,83,0,37,53,35,0,64,65,56
2004-10-01,47,24,0,23,42,0,0,0,0,56,33,15,39,13,13,41,43,33,79,41,31,22,22,66,46,63,50,35,47,21,42,0.0,0,43,20,0,59,48,20,0,34,55,0,21,4,50,0,42,0,29,39,0,70,71,24,8,31,38,30,0,0,39,67,49,38,50,0,28,38,0,40,20,26,42,0,25,100,66,16,8,83,0,36,86,0,22,100,34,0,32,0,59,100,32,18,35,84,67,30,23,32,0,78,17,44,17,0,67,28,59,0,0,77,66,23,0,56,63,100,0,35,0,34,8,63,0,0,32,79,34,12,0,43,29,0,0,41,0,51,23.0,54,30,0,66,0,23,16,0,89,21,51,17,47,79,100,46,52,26,90,0,45,41,64,64,71,99,35,9,67,20,77,43,73,0,0,0,100,61,0,0,92,0,0,0,55,81,59,100,0,30,51,16,0,100,38,0,15,100,66,0,0,0,21,15,13,24,41,59,66,0,15,0,57,22,28,0,75,40,65,51,25,78,40,41,0,28,52,90,0,16,100,37
