date,Åland Islands,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Plurinational State of Bolivia,"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Democratic Republic of the Congo,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (the) [Malvinas],Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Islamic Republic of Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Republic of Korea,Kuwait,Kyrgyzstan,Lao People's Democratic Republic (the),Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Republic of North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Federated States of Micronesia,Republic of Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,"Palestine, State of",Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Réunion,Romania,Russian Federation,Rwanda,Saint Barthélemy,"Saint Helena, Ascension and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,French part Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Dutch part Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Sweden,Switzerland,Syrian Arab Republic,Province of China Taiwan,Tajikistan,"Tanzania, United Republic of",Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United States of America,Uruguay,Uzbekistan,Vanuatu,Bolivarian Republic of Venezuela,Viet Nam,British Virgin Islands,Virgin Islands (U.S.),Western Sahara,Yemen,Zambia,Zimbabwe
2020-10-28 00:00:00,0.0,4,15,4,4,7,7,10,6,8,10,3,3,8,14,5,6,7,5,3,10,17,9,4,6,14,4,2,7,5,3,8,12,1,6,13,5,7,4,0,3,5,4,0,7,8,0,7,14,4,4,9,5,3,4,5,1,6,5,11,7,0,0,4,8,5,0,9,7,4,2,7,8,9,11,6,2,11,0,2,12,,3,21,8,8,17,6,7,3,6,4,3,11,7,13,6,26,6,3,8,3,7,11,1,8,6,7,,17,8,10,17,5,5,6,7,28,22,3,3,3,3,2,3,3,5,8,5,2,3,11,2,0,6,18,12,8,6,0,9,7,6,0,9,4,3,3,6,13,19,16,6,6,9,0,7,3,10,3,6,15,4,2,5.0,5,3,5,7,8,14,12,4,5,11,0,4,2,6,0,7,13,4,0,7,4,16,3,3,3,5,7,4,2,5,22,15,0,4,3,26,6,12,7,8,13,13,5,7,11,3,33,5,7,11,6,6,29,5,11,0,2,14,0,11,9,18,7,6
2020-10-28 01:00:00,8.0,7,13,13,0,8,0,8,6,4,11,4,2,11,14,5,6,7,5,3,8,14,10,3,7,12,1,6,5,2,4,3,6,8,8,12,5,11,5,0,3,4,4,0,9,4,0,7,13,4,3,9,8,4,5,3,3,5,5,11,7,17,0,3,3,5,8,5,4,3,2,8,4,18,11,7,2,11,0,2,6,,2,17,9,11,20,0,8,4,7,4,3,10,8,13,6,19,6,3,8,3,7,10,6,9,6,8,,18,8,11,15,6,5,18,14,27,0,5,2,2,5,2,18,3,8,14,3,10,3,13,1,0,6,0,5,5,8,0,9,8,5,0,11,4,3,3,7,20,20,6,4,4,7,3,5,4,9,3,6,14,4,3,6.0,5,1,5,6,5,6,14,3,4,2,0,2,4,0,0,6,14,4,0,6,3,6,2,4,9,9,8,4,3,7,31,14,0,5,3,24,5,6,9,8,14,7,5,6,11,3,19,10,5,11,5,7,30,5,11,1,3,14,16,17,4,22,5,6
2020-10-28 02:00:00,0.0,2,14,2,0,6,0,18,7,7,13,4,2,6,13,4,6,9,4,3,8,15,7,1,7,13,6,3,6,3,2,5,0,2,9,8,6,7,10,0,4,3,3,0,10,17,14,7,14,5,3,9,6,3,4,6,1,6,5,10,6,22,0,7,4,4,0,0,5,4,2,8,6,9,13,4,2,13,0,2,2,,4,9,8,3,30,0,5,2,7,3,2,6,9,13,5,23,5,9,7,3,7,12,5,7,7,5,,18,9,12,9,4,6,11,10,21,17,3,5,3,6,3,9,3,6,12,3,7,5,8,2,0,6,22,8,6,2,0,9,4,5,0,11,6,4,3,7,28,20,6,5,6,7,3,8,4,8,4,7,13,3,3,5.0,4,1,3,5,3,8,13,9,3,0,0,4,6,0,0,7,16,3,0,5,3,7,2,4,6,6,8,4,2,6,20,20,0,4,3,23,5,6,7,9,13,11,10,7,8,3,28,12,4,10,6,8,30,5,12,6,3,14,15,33,0,18,3,3
2020-10-28 03:00:00,0.0,5,15,2,0,5,0,8,9,5,12,3,2,6,10,4,6,10,3,2,5,13,6,4,6,0,4,4,7,4,2,2,10,4,9,7,6,11,0,0,4,3,4,4,5,7,6,7,14,3,2,4,5,3,4,6,2,7,5,11,6,8,0,4,6,4,0,0,5,2,2,0,12,11,4,5,2,10,0,2,0,,5,26,7,4,28,0,5,4,7,4,2,9,9,12,5,23,6,0,7,3,8,13,7,6,7,5,,18,10,10,15,2,5,8,13,27,0,1,1,2,4,4,9,3,5,3,2,0,3,9,3,5,6,0,5,6,9,0,10,3,5,0,12,4,3,3,5,27,14,14,4,5,7,0,3,4,8,4,7,13,3,2,5.0,4,1,2,5,3,0,11,12,3,4,0,1,0,0,23,7,15,4,0,3,3,10,2,3,7,5,9,2,3,7,19,6,0,4,2,21,4,4,7,9,23,7,0,5,5,3,20,10,4,6,6,9,30,4,13,7,3,14,6,19,0,11,4,4
2020-10-28 04:00:00,2.0,5,10,14,0,8,0,8,8,6,8,3,2,4,10,4,6,5,3,2,6,9,18,2,6,0,1,2,6,4,2,5,5,0,8,6,5,14,2,2,5,4,4,0,4,7,0,7,15,2,3,12,4,2,3,1,3,8,6,10,6,0,0,2,3,4,0,0,8,2,2,5,9,9,23,6,2,8,0,2,0,,4,21,7,0,14,59,6,4,7,3,1,14,9,12,4,27,5,11,6,2,6,10,7,6,7,4,,17,6,13,10,3,5,18,7,23,6,1,2,2,1,3,4,3,5,7,1,0,2,10,2,3,6,9,3,6,5,0,9,5,5,0,11,4,3,4,7,12,10,27,4,5,6,3,5,4,10,5,8,13,2,2,5.0,4,2,2,5,3,0,10,7,3,0,0,4,5,0,17,6,12,1,0,12,3,8,1,2,10,6,8,2,2,7,19,20,0,3,2,17,4,11,6,8,34,14,27,5,5,2,13,4,4,6,5,10,30,5,15,4,3,14,9,29,20,13,3,5
2020-10-28 05:00:00,0.0,2,10,4,2,5,0,29,9,8,19,3,2,5,9,4,6,6,4,2,6,9,9,3,5,0,1,3,7,3,2,4,5,12,9,7,6,7,0,6,7,4,4,0,6,6,0,8,10,2,2,10,3,2,3,7,5,9,5,9,6,7,0,3,6,3,0,0,6,2,1,8,7,7,19,5,2,7,5,2,0,,1,16,8,2,13,0,6,5,7,3,2,3,9,12,3,21,4,4,6,2,6,10,2,5,7,4,,18,8,13,12,3,4,11,12,21,2,2,1,2,1,3,11,3,5,10,1,2,2,5,2,5,6,9,6,9,4,0,10,7,6,0,11,3,6,4,6,11,8,29,4,4,6,9,5,3,12,4,8,12,2,2,5.0,4,1,2,6,3,0,9,10,6,0,0,0,3,0,0,5,13,2,3,13,3,18,1,2,7,6,7,3,2,8,20,10,0,3,2,20,4,12,7,9,17,8,0,6,9,2,20,9,4,6,5,7,31,5,15,7,3,17,13,48,0,16,5,3
2020-10-28 06:00:00,1.0,3,10,2,2,5,0,9,7,7,31,3,1,5,22,3,6,2,5,2,5,6,6,4,5,0,2,4,7,4,2,3,5,8,7,6,5,0,4,10,5,3,4,2,9,4,15,7,8,1,3,4,3,2,3,3,0,7,6,9,5,2,24,2,3,3,0,12,7,2,1,0,11,7,10,6,2,6,0,1,12,,0,19,7,2,11,0,0,6,7,3,2,6,8,11,3,24,5,5,5,2,7,10,2,5,7,4,,17,7,16,13,2,4,13,6,22,4,1,1,2,2,4,8,3,5,5,2,0,3,14,2,1,6,31,5,8,4,0,7,5,6,0,11,3,3,4,3,16,9,21,4,4,6,11,5,3,8,4,7,13,2,2,5.0,4,2,2,6,4,0,7,6,0,31,0,10,5,0,0,4,6,2,2,3,2,0,1,2,0,6,5,3,2,8,25,14,0,4,2,16,4,11,7,9,15,7,28,9,4,2,13,0,5,6,5,4,28,6,16,9,3,17,22,0,17,15,5,4
2020-10-28 07:00:00,0.0,3,9,10,3,4,0,5,7,8,8,4,1,4,7,4,6,14,4,2,10,7,0,4,4,0,2,2,5,4,2,4,2,0,8,6,5,8,4,8,4,3,4,2,6,5,0,6,7,2,2,10,2,3,4,4,0,8,5,10,3,6,0,3,3,3,0,2,6,2,1,0,8,8,9,6,2,6,6,1,0,,4,21,8,4,10,0,11,5,6,3,2,6,8,12,3,22,4,9,5,1,5,9,3,5,7,4,,18,7,12,11,2,4,16,8,25,2,2,2,3,2,3,8,3,8,7,1,0,1,3,2,1,5,9,5,5,3,0,7,4,5,0,10,3,6,4,9,16,9,34,7,4,6,6,4,4,12,5,7,13,2,1,4.0,3,1,2,6,3,0,7,0,4,0,0,0,0,1,0,5,10,2,2,4,2,10,1,2,12,5,5,3,1,8,20,16,8,3,2,21,4,12,8,9,17,6,14,4,4,2,22,26,4,7,5,4,26,7,18,0,3,16,0,20,0,15,5,3
2020-10-28 08:00:00,1.0,4,10,11,1,4,0,4,4,7,0,4,1,5,16,4,7,7,4,2,10,7,7,3,6,0,2,2,4,5,2,3,4,5,7,6,5,12,1,8,3,3,3,2,7,4,0,6,7,2,3,0,3,3,3,3,6,3,5,9,5,5,0,2,4,3,0,13,8,2,1,0,6,7,9,5,1,6,3,1,0,,3,16,6,2,11,15,3,4,7,3,2,5,8,12,4,20,3,4,4,1,5,9,3,5,8,4,,17,7,12,13,2,3,8,8,22,3,2,2,3,2,3,6,3,9,5,1,5,5,12,2,0,5,0,6,4,3,0,8,4,5,0,11,2,7,4,7,12,8,21,7,4,6,0,5,3,12,3,7,12,2,2,4.0,4,2,3,6,4,22,8,6,0,0,0,5,2,2,0,5,9,2,0,4,2,10,2,1,5,5,4,5,1,7,22,11,0,3,2,22,4,14,7,8,7,3,11,4,4,2,27,0,5,7,5,3,25,3,18,9,2,14,0,0,0,12,4,4
2020-10-28 09:00:00,2.0,3,10,2,2,5,0,0,4,9,4,4,1,5,6,4,6,5,5,2,4,6,9,2,5,0,2,3,4,4,2,3,4,5,3,7,5,0,4,3,2,3,3,0,5,6,10,6,8,2,2,4,3,3,4,5,0,5,5,10,2,7,13,2,4,4,0,12,7,2,1,0,7,6,8,6,1,7,5,1,9,,4,23,7,2,14,10,3,4,7,3,2,5,8,12,4,21,3,5,4,1,7,9,3,5,7,4,,18,8,14,13,2,4,6,6,15,4,2,1,2,2,3,15,3,11,9,2,4,3,7,2,0,6,8,5,6,4,0,7,4,5,0,12,2,3,4,6,11,9,22,7,5,6,4,5,3,9,2,7,12,2,1,3.0,4,2,2,6,2,0,9,4,11,0,5,0,4,1,0,5,8,2,8,8,3,11,1,2,4,5,4,3,1,8,23,7,0,2,2,26,4,11,6,8,13,6,6,3,5,2,24,10,5,7,5,3,24,3,17,8,2,9,0,0,0,13,5,5
