date,Afghanistan,Åland Islands,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Plurinational State of Bolivia,"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Democratic Republic of the Congo,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (the) [Malvinas],Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Islamic Republic of Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Korea (the Democratic People's Republic of),Republic of Korea,Kuwait,Kyrgyzstan,Lao People's Democratic Republic (the),Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Republic of North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Federated States of Micronesia,Republic of Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,"Palestine, State of",Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Réunion,Romania,Russian Federation,Rwanda,Saint Barthélemy,"Saint Helena, Ascension and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,French part Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Dutch part Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Sweden,Switzerland,Syrian Arab Republic,Province of China Taiwan,Tajikistan,"Tanzania, United Republic of",Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United States of America,Uruguay,Uzbekistan,Vanuatu,Bolivarian Republic of Venezuela,Viet Nam,British Virgin Islands,Virgin Islands (U.S.),Western Sahara,Yemen,Zambia,Zimbabwe,Worldwide
2004-01-01,0,0,0,56,0,0,0,0,0,35,70,0,11,12,22,80,23,44,18,47,24,0,40,80,0,47,0,24,0,22,0.0,0,77,0,0,0,100,100,20,45,0,0,20,4,42,0,40,0,56,48,51,33,8,0,16,46,27,0,0,34,84,69,27,0,100,41,0,40,0,0,74,25,36,0,0,0,0,72,8,97,0,45,75,0,100,39,68,0,0,0,0,0,70,25,29,26,90,87,37,78,33,0,100,15,46,21,0,52,15,69,0,0.0,49,34,0,0,61,75,23,0,77,0,39,27,0,54,0,0,38,69,100,5,0,0,100,60,0,43,73,23,60.0,0,0,0,65,52,0,0,45,21,53,17,100,0,89,0,48,52,74,0,58,29,0,0,63,78,45,11,73,24,40,44,69,100,0,0,60,0,0,0,0,0,0,0,71,43,66,83,82,30,0,24,8,0,0,37,0,14,78,100,0,0,18,15,48,16,0,42,100,0,61,0,55,56,34,0,100,59,54,55,28,76,36,37,0,29,98,0,30,0,91,25,67,44
2004-02-01,0,0,0,32,0,0,0,0,25,44,31,100,12,10,19,70,24,38,32,15,23,0,100,19,0,69,0,25,0,20,100.0,46,68,45,0,0,48,95,19,0,0,0,20,4,43,0,38,35,0,92,35,26,6,0,49,31,28,78,0,57,59,58,20,0,0,14,0,56,0,0,0,20,36,0,0,0,0,100,8,80,83,34,0,0,14,36,80,0,48,0,0,0,44,23,16,17,80,88,21,50,25,0,84,15,37,20,0,45,61,67,0,0.0,49,52,21,0,43,64,0,100,100,0,47,19,32,67,0,0,37,0,0,17,0,19,0,62,0,42,0,41,86.0,32,0,0,56,100,72,0,15,22,47,17,66,0,96,100,39,35,89,0,0,30,0,27,72,100,39,7,100,24,14,38,48,0,0,100,44,97,0,0,0,0,0,0,49,68,78,0,0,27,0,34,25,0,0,40,0,16,33,0,0,0,19,17,16,19,0,39,93,100,39,0,57,63,32,0,0,59,60,48,26,80,9,98,81,33,71,0,68,0,25,26,36,45
2004-03-01,0,0,32,50,0,0,0,0,31,36,100,0,13,11,0,100,32,28,0,67,22,0,15,0,0,41,0,10,0,22,0.0,0,74,56,0,0,64,51,19,20,0,0,29,4,30,0,0,0,0,42,100,25,10,0,55,40,28,0,0,29,54,89,27,0,56,34,0,21,0,0,34,26,41,0,49,32,21,69,8,78,0,31,0,43,0,59,65,0,63,0,0,0,43,28,19,100,71,95,27,100,27,0,80,13,100,18,0,51,100,44,0,0.0,41,100,79,0,34,48,0,0,79,20,28,23,0,77,90,0,44,34,0,14,0,31,0,0,0,39,0,53,34.0,33,46,0,74,0,0,0,81,24,0,14,59,42,100,0,39,35,61,0,100,29,0,50,58,87,35,15,68,36,50,41,62,0,0,0,60,41,0,0,0,0,0,0,56,23,63,0,0,21,0,27,13,0,0,47,0,17,30,0,0,0,21,16,35,24,87,45,98,0,16,0,58,18,39,0,0,58,95,44,26,81,23,100,100,39,68,0,0,0,52,0,45,43
2004-04-01,0,0,22,76,0,0,0,0,49,42,21,35,14,11,100,96,53,53,79,40,25,0,70,42,0,66,0,33,36,21,0.0,89,46,0,94,0,56,58,17,37,0,0,26,4,37,0,39,0,100,42,55,31,3,0,37,26,26,91,0,30,76,79,16,0,22,38,0,38,0,0,28,20,34,0,31,100,43,27,8,56,100,43,0,31,39,71,89,0,0,0,28,0,98,43,16,59,85,76,28,0,26,0,87,16,63,19,0,37,15,36,0,0.0,53,49,27,0,54,53,0,0,66,51,35,12,15,50,0,45,32,58,0,0,0,9,0,24,0,43,0,46,79.0,92,0,0,53,0,86,0,70,22,38,14,50,46,68,0,38,56,77,0,0,29,0,60,77,77,39,14,60,10,13,49,69,0,0,0,74,32,0,0,100,0,0,0,49,42,60,0,100,23,0,22,14,0,0,40,0,15,51,55,85,0,24,16,39,22,0,32,97,0,26,0,62,53,33,0,0,69,55,39,25,82,27,44,0,39,59,49,51,0,73,38,42,46
2004-05-01,46,0,77,25,0,0,0,0,23,53,59,28,15,11,14,56,56,57,15,34,25,51,91,0,0,66,0,53,31,25,0.0,26,62,100,0,0,85,25,20,35,0,0,31,6,39,0,24,0,0,47,22,39,13,0,26,34,26,100,0,52,50,92,37,90,20,35,0,84,0,0,21,26,39,55,31,33,0,21,8,95,0,41,0,0,23,78,74,0,36,0,27,0,35,45,29,46,86,100,48,38,33,0,90,19,44,23,0,100,23,47,0,0.0,79,76,23,0,43,100,0,0,70,13,37,9,12,82,34,82,55,24,0,39,0,24,0,89,0,39,0,69,45.0,20,66,100,87,26,0,0,83,24,0,16,60,0,77,0,49,75,100,0,40,36,0,83,67,92,38,13,73,41,67,45,84,28,0,0,82,0,0,0,0,0,0,0,76,45,61,55,0,24,0,45,17,100,83,42,0,17,62,61,0,0,22,19,100,30,0,53,95,70,100,0,35,90,45,0,43,61,53,74,27,83,51,0,0,39,61,0,87,0,84,58,67,46
2004-06-01,100,0,19,57,0,29,47,0,0,35,40,0,12,8,16,29,14,43,15,51,21,0,10,0,0,62,0,15,66,23,34.0,0,73,32,44,0,21,11,18,0,0,0,28,4,38,0,0,0,0,55,53,29,7,0,29,24,17,78,0,39,82,100,35,0,0,13,0,29,0,48,42,14,32,0,57,28,28,68,7,100,0,39,0,54,12,45,46,0,94,0,57,0,23,26,26,36,80,54,34,43,25,0,87,15,13,19,0,91,23,65,0,0.0,57,56,0,0,24,42,100,0,87,13,33,26,0,28,62,31,47,0,0,14,0,24,0,42,0,39,0,24,96.0,47,0,0,54,0,0,0,71,21,100,16,25,0,84,66,42,28,81,0,22,36,34,50,67,64,39,13,63,30,37,34,70,26,0,0,0,27,0,0,0,0,0,0,45,100,35,0,0,28,0,15,11,0,0,31,0,14,44,31,100,0,14,14,47,26,100,7,85,0,63,0,35,44,32,0,0,100,42,45,24,70,25,71,0,32,51,47,52,0,68,73,18,41
2004-07-01,43,0,40,75,0,29,0,0,74,39,19,0,12,10,52,44,26,55,0,58,19,58,47,68,0,84,0,71,60,15,0.0,0,73,62,0,0,63,56,18,43,0,0,24,3,38,0,30,0,0,58,48,24,5,0,19,26,19,0,0,60,100,60,35,0,41,21,0,65,0,0,0,17,28,0,100,29,43,64,7,63,87,42,0,0,54,48,55,0,0,0,0,0,36,30,22,18,80,80,31,37,28,0,79,16,20,18,0,53,25,62,0,0.0,77,54,29,100,36,69,0,0,0,0,15,15,0,64,0,0,39,52,0,10,0,11,0,44,0,37,0,79,25.0,0,36,0,73,33,72,0,90,20,0,15,38,0,81,59,29,75,79,0,23,52,0,18,72,75,26,10,38,23,54,39,69,62,0,0,100,66,0,0,0,0,0,0,54,28,34,0,0,24,0,27,15,0,0,45,0,14,31,15,0,0,17,13,37,19,48,40,81,50,49,0,50,49,33,0,0,48,34,47,25,67,50,43,55,33,60,0,0,0,51,36,40,39
2004-08-01,90,0,20,100,100,0,40,0,0,42,43,48,15,7,14,30,69,58,43,64,19,96,32,48,0,49,0,48,29,26,0.0,22,58,61,62,0,58,24,17,60,0,0,27,4,33,0,70,24,0,72,40,20,2,0,24,30,19,0,77,51,64,70,30,0,19,31,0,38,0,92,16,18,30,0,61,0,9,41,7,46,40,37,0,28,14,60,55,0,68,0,33,0,31,34,16,71,83,76,28,20,26,0,74,18,26,17,0,83,38,66,0,0.0,62,82,0,0,39,87,0,0,0,10,51,20,14,16,30,0,28,0,44,13,0,12,0,0,0,41,0,0,25.0,53,100,0,90,20,48,0,55,21,43,14,43,0,92,0,36,28,78,0,18,50,0,30,61,66,33,8,81,22,14,41,51,0,0,0,52,0,0,0,0,0,0,0,53,23,31,0,0,19,0,22,15,0,0,35,0,20,63,0,66,0,16,17,74,18,0,42,83,0,90,0,36,53,29,0,0,30,54,50,24,69,38,23,0,26,52,95,84,0,74,15,11,39
2004-09-01,50,0,50,54,0,0,0,0,45,40,0,0,13,9,58,48,34,51,26,79,19,36,54,49,34,82,0,49,23,20,0.0,20,61,0,100,0,20,65,18,43,0,0,28,5,39,0,82,25,0,40,51,30,10,0,26,20,25,55,58,33,80,61,38,100,60,21,0,29,0,0,46,19,36,0,25,22,18,53,8,73,34,43,39,0,23,30,51,0,30,0,24,0,44,30,13,49,87,78,35,6,31,0,72,15,37,19,0,54,24,55,0,0.0,50,49,0,0,56,52,0,0,70,0,33,13,13,41,29,24,33,19,0,17,0,43,0,34,0,41,47,18,100.0,0,29,0,91,0,83,0,62,19,24,16,51,67,72,51,39,25,85,0,19,33,0,57,68,77,29,12,60,45,24,39,67,0,0,0,0,25,0,0,0,0,0,0,59,75,50,51,0,24,0,25,13,0,65,36,0,15,100,0,0,0,21,14,39,18,0,44,72,0,52,0,50,41,28,100,0,56,61,44,27,79,27,61,0,38,55,0,0,0,78,26,24,44
2004-10-01,56,0,17,49,0,0,0,0,22,34,70,24,12,12,13,40,33,73,100,74,24,0,50,45,83,60,0,28,26,21,40.0,23,48,55,0,0,95,21,21,0,0,0,24,5,39,0,100,49,0,44,46,33,10,0,34,41,29,0,58,41,63,65,36,0,0,38,100,49,0,48,17,26,38,100,78,22,100,38,7,82,26,39,99,0,25,49,57,0,35,0,28,0,13,40,18,56,84,77,22,11,34,0,80,16,53,19,0,46,47,47,0,0.0,73,49,19,0,45,76,0,0,42,10,26,7,13,28,0,32,28,25,12,19,0,54,35,19,0,40,80,37,20.0,81,93,0,72,25,72,0,78,22,24,16,21,75,79,50,53,37,67,0,32,47,32,86,70,90,36,8,56,20,75,42,61,23,0,0,92,0,0,0,0,100,74,0,67,53,63,0,0,25,0,36,21,0,0,33,0,15,44,14,0,0,21,15,11,19,0,63,72,0,58,0,51,36,25,0,0,91,78,58,25,81,31,18,0,32,59,0,46,0,37,51,44,44
